Timestamp,CAN_ID,DLC,Data
1787422756.996962,0x100,2,6A 00
1787422756.997071,0x101,2,9E 11
1787422756.997115,0x102,2,4A 00
1787422757.498184,0x100,2,68 00
1787422757.498296,0x101,2,58 11
1787422757.498333,0x102,2,4A 00
1787422757.998823,0x100,2,66 00
1787422757.999001,0x101,2,12 11
1787422757.999046,0x102,2,4A 00
1787422758.499363,0x100,2,64 00
1787422758.499469,0x101,2,CC 10
1787422758.499497,0x102,2,4A 00
1787422759.000305,0x100,2,62 00
1787422759.000399,0x101,2,86 10
1787422759.000441,0x102,2,4A 00
1787422759.500852,0x100,2,60 00
1787422759.501053,0x101,2,40 10
1787422759.501085,0x102,2,4A 00
1787422760.001459,0x100,2,5E 00
1787422760.001813,0x101,2,FA 0F
1787422760.001861,0x102,2,4B 00
1787422760.502280,0x100,2,5C 00
1787422760.502416,0x101,2,B4 0F
1787422760.502452,0x102,2,4B 00
1787422761.003770,0x100,2,5A 00
1787422761.003881,0x101,2,6E 0F
1787422761.003920,0x102,2,4B 00
1787422761.505038,0x100,2,58 00
1787422761.505222,0x101,2,28 0F
1787422761.505261,0x102,2,4B 00
1787422762.005752,0x100,2,56 00
1787422762.005980,0x101,2,E2 0E
1787422762.006022,0x102,2,4B 00
1787422762.506269,0x100,2,54 00
1787422762.506368,0x101,2,9C 0E
1787422762.506387,0x102,2,4B 00
1787422763.006798,0x100,2,52 00
1787422763.006895,0x101,2,56 0E
1787422763.006910,0x102,2,4B 00
1787422763.507759,0x100,2,50 00
1787422763.507925,0x101,2,10 0E
1787422763.507971,0x102,2,4B 00
1787422764.008588,0x100,2,4E 00
1787422764.008741,0x101,2,CA 0D
1787422764.008764,0x102,2,4B 00
1787422764.509401,0x100,2,4C 00
1787422764.509578,0x101,2,84 0D
1787422764.509829,0x102,2,4B 00
1787422765.010106,0x100,2,4A 00
1787422765.010243,0x101,2,3E 0D
1787422765.010308,0x102,2,4C 00
1787422765.510737,0x100,2,48 00
1787422765.510941,0x101,2,F8 0C
1787422765.510970,0x102,2,4C 00
1787422766.012211,0x100,2,46 00
1787422766.012325,0x101,2,B2 0C
1787422766.012360,0x102,2,4C 00
1787422766.512668,0x100,2,44 00
1787422766.512758,0x101,2,6C 0C
1787422766.512769,0x102,2,4C 00
1787422767.013004,0x100,2,42 00
1787422767.013061,0x101,2,26 0C
1787422767.013067,0x102,2,4C 00
1787422767.514093,0x100,2,40 00
1787422767.514225,0x101,2,E0 0B
1787422767.514246,0x102,2,4C 00
1787422768.014671,0x100,2,3E 00
1787422768.014845,0x101,2,9A 0B
1787422768.014870,0x102,2,4C 00
1787422768.515426,0x100,2,3C 00
1787422768.515772,0x101,2,54 0B
1787422768.515812,0x102,2,4C 00
1787422769.016968,0x100,2,3A 00
1787422769.017058,0x101,2,0E 0B
1787422769.017092,0x102,2,4C 00
1787422769.519665,0x100,2,38 00
1787422769.519725,0x101,2,C8 0A
1787422769.519737,0x102,2,4C 00
1787422770.020738,0x100,2,36 00
1787422770.020971,0x101,2,82 0A
1787422770.021010,0x102,2,4D 00
1787422770.521362,0x100,2,34 00
1787422770.521466,0x101,2,3C 0A
1787422770.521479,0x102,2,4D 00
1787422771.022296,0x100,2,32 00
1787422771.022407,0x101,2,F6 09
1787422771.022422,0x102,2,4D 00
1787422771.523092,0x100,2,30 00
1787422771.523339,0x101,2,B0 09
1787422771.523409,0x102,2,4D 00
1787422772.023853,0x100,2,2E 00
1787422772.024119,0x101,2,6A 09
1787422772.024180,0x102,2,4D 00
1787422772.525086,0x100,2,2C 00
1787422772.525187,0x101,2,24 09
1787422772.525236,0x102,2,4D 00
1787422773.026200,0x100,2,2A 00
1787422773.026398,0x101,2,DE 08
1787422773.026438,0x102,2,4D 00
1787422773.527111,0x100,2,28 00
1787422773.527459,0x101,2,98 08
1787422773.527487,0x102,2,4D 00
1787422774.027891,0x100,2,26 00
1787422774.027961,0x101,2,52 08
1787422774.027969,0x102,2,4D 00
1787422774.528310,0x100,2,24 00
1787422774.528370,0x101,2,0C 08
1787422774.528377,0x102,2,4D 00
